Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,Subgenre,Venue,VenueID
Dance/Electronic,40.68350417,-73.97661659,Kygo: Kids in Love Tour 2018,99.5,45.5,2018-05-11,Club Dance,Barclays Center,KovZpakSbe
Dance/Electronic,33.7477915,-117.87160501,"Star Bar with DJ Brynn Taylor, Club Lucky Go Go Boys and DJ Ionicx",0,0,2018-05-12,Club Dance,Velvet Lounge,KovZpZAJFakA
Dance/Electronic,39.949718,-75.169853,Moon Boots Live,0,0,2018-05-12,Club Dance,Coda,KovZpZAJIaEA
Dance/Electronic,40.71415564,-73.95556882,Artifakts B2b Daily Bread,0,0,2018-05-12,Club Dance,Knitting Factory,KovZpaKbie
Dance/Electronic,36.102916,-115.169756,Jabbawockeez,118.21,28.2,2018-05-12,Club Dance,Jabbawockeez Theater at MGM Grand Hotel & Casino,KovZpZAF6JEA
Dance/Electronic,34.0788,-118.263702,Mount Kimbie,0,0,2018-05-12,Dance/Electronic,Echoplex,ZFr9jZke7a
Dance/Electronic,42.45915882,-83.13327,Whatcha Really Really Want Starring Torontos Live Sensation Dwayne Gre,0,0,2018-05-12,Club Dance,The Loving Touch,KovZpaKKCe
Dance/Electronic,39.760502,-104.965698,Ryan Hemsworth,0,0,2018-05-12,Dance/Electronic,Cervantes,ZFr9jZkk1d
Dance/Electronic,33.716,-117.902901,Franz Ferdinand,0,0,2018-05-12,Dance/Electronic,The Observatory - Santa Ana,Z6r9jZ6eAe
Dance/Electronic,42.365841,-71.060724,Kygo: Kids in Love Tour 2018,95.0,25.0,2018-05-12,Club Dance,TD Garden,KovZpa2gne
Dance/Electronic,33.7477915,-117.87160501,18+ Drageteria Show and Dance Club!,0,0,2018-05-13,Club Dance,Velvet Lounge,KovZpZAJFakA
Dance/Electronic,32.7397,-117.129303,Franz Ferdinand,0,0,2018-05-13,Dance/Electronic,The Observatory - San Diego,ZFr9jZ676d
Dance/Electronic,45.523359,-122.676564,Mount Kimbie with Smerz,0,0,2018-05-15,Club Dance,Star Theater,KovZpZAEddaA
Dance/Electronic,41.9104357,-87.6780995,George Fitzgerald Live Full Band,0,0,2018-05-15,Club Dance,Subterranean,KovZpZA1EktA
Dance/Electronic,33.4203,-111.928802,Mushroomhead w/ Gabriel and The Apocalypse,0,0,2018-05-15,Dance/Electronic,Club Red,ZFr9jZkA7e
Dance/Electronic,32.777599,-117.195999,Mushroomhead,0,0,2018-05-16,Dance/Electronic,Brick By Brick,Z6r9jZddAe
Dance/Electronic,36.102916,-115.169756,Jabbawockeez,118.21,28.2,2018-05-17,Club Dance,Jabbawockeez Theater at MGM Grand Hotel & Casino,KovZpZAF6JEA
Dance/Electronic,36.102916,-115.169756,Jabbawockeez,118.21,28.2,2018-05-17,Club Dance,Jabbawockeez Theater at MGM Grand Hotel & Casino,KovZpZAF6JEA
Dance/Electronic,39.1424977,-94.5458707,VooDoo & Borda Productions Presents Dada Life,65.0,25.0,2018-05-18,Club Dance,VooDoo Lounge at Harrah's Casino North Kansas City,KovZpZAaatJA
Dance/Electronic,29.957032,-90.064749,DJ Soul Sister,0,0,2018-05-18,Club Dance,One Eyed Jacks,KovZpZAFJ7vA
Dance/Electronic,36.102916,-115.169756,Jabbawockeez,118.21,28.2,2018-05-18,Club Dance,Jabbawockeez Theater at MGM Grand Hotel & Casino,KovZpZAF6JEA
Dance/Electronic,42.460429,-83.135001,Christian Martin At Grasshopper Underground,0,0,2018-05-18,Club Dance,The Grasshopper Underground,KovZpZAkInIA
Dance/Electronic,33.7477915,-117.87160501,"Star Bar with DJ Brynn Taylor, Club Lucky Go Go Boys and DJ Ionicx",0,0,2018-05-19,Club Dance,Velvet Lounge,KovZpZAJFakA
Dance/Electronic,37.787571,-122.409598,Classixx,0,0,2018-05-19,Club Dance,August Hall,KovZpZA6vtnA
Dance/Electronic,36.102916,-115.169756,Jabbawockeez,118.21,28.2,2018-05-19,Club Dance,Jabbawockeez Theater at MGM Grand Hotel & Casino,KovZpZAF6JEA
