Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,Subgenre,Venue,VenueID
Pop,36.11629558,-115.17230026,Frank Marino's Divas,108.99,68.99,2018-07-10,Pop,Mat Franco Theater at The Linq,KovZpZAJaJ7A
Pop,34.037998,-84.169502,Sam Smith: The Thrill Of It All Tour,0,0,2018-07-10,Pop Rock,Infinite Energy Center,Z6r9jZ6aFe
Pop,36.12198338,-115.17140642,Human Nature,116.88,66.88,2018-07-11,Pop,Sands Showroom at the Venetian,KovZpa3xIe
Pop,43.1451,-93.138496,Audra McDonald,0,0,2018-07-11,Adult Contemporary,North Iowa Community College,ZFr9jZedv6
Pop,34.0847186,-118.3612821,West Coast Songwriters-Sponosred By Artist Max,0,0,2018-07-11,Pop,Genghis Cohen,KovZpZAFJkvA
Pop,36.11629558,-115.17230026,Frank Marino's Divas,108.99,68.99,2018-07-11,Pop,Mat Franco Theater at The Linq,KovZpZAJaJ7A
Pop,36.11376452,-115.16889906,Wayne Newton Up Close And Personal,178.0,71.0,2018-07-11,Adult Contemporary,Windows at Bally's Las Vegas,KovZpZAJalFA
Pop,38.877998,-77.019798,Hatsune Miku,0,0,2018-07-12,Pop Rock,The Anthem - DC,Z7r9jZadGS
Pop,36.11629558,-115.17230026,Frank Marino's Divas,108.99,68.99,2018-07-12,Pop,Mat Franco Theater at The Linq,KovZpZAJaJ7A
Pop,36.12198338,-115.17140642,Human Nature,116.88,66.88,2018-07-12,Pop,Sands Showroom at the Venetian,KovZpa3xIe
Pop,36.12198338,-115.17140642,Human Nature,116.88,66.88,2018-07-13,Pop,Sands Showroom at the Venetian,KovZpa3xIe
Pop,44.970299,-93.286102,Audra McDonald w/ Minnesota Orchestra,0,0,2018-07-13,Adult Contemporary,Orchestra Hall-MN,ZFr9jZ77Fv
Pop,36.11629558,-115.17230026,Frank Marino's Divas,108.99,68.99,2018-07-13,Pop,Mat Franco Theater at The Linq,KovZpZAJaJ7A
Pop,32.9963,-117.2593,Jefferson Starship,0,0,2018-07-13,Pop Rock,Belly Up Tavern,Z6r9jZeFve
Pop,36.11629558,-115.17230026,Frank Marino's Divas,108.99,68.99,2018-07-14,Pop,Mat Franco Theater at The Linq,KovZpZAJaJ7A
Pop,41.135799,-75.394402,Huey Lewis & The News,0,0,2018-07-14,Adult Contemporary,Mount Airy Casino Resort,ZFr9jZee7A
Pop,36.12198338,-115.17140642,Human Nature,116.88,66.88,2018-07-14,Pop,Sands Showroom at the Venetian,KovZpa3xIe
Pop,39.09210587,-84.49312592,"Easy Roscoe, Jon Worthy, Sundae Drives, Founding Fathers",0,0,2018-07-14,Pop,The Southgate House Revival - Revival Room,KovZpZAFaIJA
Pop,39.598999,-105.228104,Seal w/ Colorado Symphony Orchestra,0,0,2018-07-15,Adult Contemporary,Red Rocks Amphitheatre,ZFr9jZe71a
Pop,36.11629558,-115.17230026,Frank Marino's Divas,108.99,68.99,2018-07-15,Pop,Mat Franco Theater at The Linq,KovZpZAJaJ7A
Pop,41.10179,-80.652824,Japanese Breakfast,0,0,2018-07-16,Pop,The Bug Jar,KovZpZAFEAeA
Pop,36.11629558,-115.17230026,Frank Marino's Divas,108.99,68.99,2018-07-16,Pop,Mat Franco Theater at The Linq,KovZpZAJaJ7A
Pop,36.11376452,-115.16889906,Wayne Newton Up Close And Personal,178.0,71.0,2018-07-16,Adult Contemporary,Windows at Bally's Las Vegas,KovZpZAJalFA
Pop,36.12198338,-115.17140642,Human Nature,116.88,66.88,2018-07-17,Pop,Sands Showroom at the Venetian,KovZpa3xIe
Pop,38.9062,-77.294899,Straight No Chaser,0,0,2018-07-17,Adult Contemporary,Filene Center,Z7r9jZad_t
