Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,Subgenre,Venue,VenueID
Rock,41.611827,-93.758402,Breaking Benjamin,38.0,38.0,2018-05-16,Alternative Rock,7 Flags Event Center,KovZpZAaataA
Rock,33.9583,-118.341868,Steely Dan With The Doobie Brothers: The Summer Of Living Dangerously,199.5,29.5,2018-05-30,Pop,The Forum,KovZpZAEkn6A
Rock,40.767798,-111.901096,Eagles With Special Guests JD & The Straight Shot,396.5,56.5,2018-05-03,Pop,Vivint Smart Home Arena,KovZpZAdEtkA
Rock,26.155362,-80.33023,James Taylor & His All-Star Band special guest Bonnie Raitt and Band,100.0,66.0,2018-05-11,Pop,BB&T Center,KovZpZAEeavA
Rock,30.325811,-81.645058,James Taylor & His All-Star Band special guest Bonnie Raitt and Band,100.0,66.0,2018-05-08,Pop,Jacksonville Veterans Memorial Arena,KovZpZAE67AA
Rock,44.94489438,-93.10121819,Daryl Hall & John Oates and Train,672.0,23.25,2018-05-16,Pop,Xcel Energy Center,KovZpZA6AJdA
Rock,41.1913469,-81.5607834,Jimmy Buffett and the Coral Reefer Band,146.0,36.0,2018-05-27,Pop,Blossom Music Center,KovZpZAEAtAA
Rock,40.7497062,-73.9916006,Billy Joel - In Concert,139.5,65.5,2018-05-23,Pop,Madison Square Garden,KovZpZA7AAEA
Rock,40.334771,-75.923013,Halestorm + In This Moment,150.0,29.5,2018-05-10,Pop,Diamond Credit Union Theater at the Santander Arena,KovZpZAJd6EA
Rock,34.11948811,-118.29629093,Tom Jones,165.0,37.5,2018-05-24,Pop,Greek Theatre,KovZpa2Hxe
Rock,35.597471,-82.555289,Brandi Carlile,74.5,34.5,2018-05-13,Alternative Rock,U.S. Cellular Center Asheville,KovZpZAJvnIA
Rock,34.8573121,-82.3970138,James Taylor & His All-Star Band special guest Bonnie Raitt and Band,100.0,66.0,2018-05-19,Pop,Bon Secours Wellness Arena ,KovZpZAJEInA
Rock,30.13310378,-97.64039993,Dave Matthews Band,115.0,45.5,2018-05-22,Alternative Rock,Austin360 Amphitheater,KovZpZAJEFJA
Rock,39.052082,-84.416862,Halestorm + In This Moment,146.5,20.0,2018-05-04,Pop,PNC PAVILION,KovZpaK7xe
Rock,34.11177334,-118.33851469,LCD Soundsystem and Yeah Yeah Yeahs with Young Fathers,139.5,37.5,2018-05-04,Pop,Hollywood Bowl,KovZpZAFFvJA
Rock,38.049148,-84.5010377,Foo Fighters,101.5,51.5,2018-05-01,Alternative Rock,Rupp Arena,KovZpZAFa6lA
Rock,29.9489653,-90.079688,Steely Dan With The Doobie Brothers: The Summer Of Living Dangerously,196.5,36.5,2018-05-22,Pop,Smoothie King Center,KovZpZAJAJAA
Rock,34.726557,-86.589925,Skillet and For King & Country joy.Unleashed Tour 2018,65.0,18.0,2018-05-03,Alternative Rock,Von Braun Center Arena,KovZpZAE6eEA
Rock,36.159682,-86.771194,Steely Dan With The Doobie Brothers: The Summer Of Living Dangerously,199.5,39.5,2018-05-20,Pop,Ascend Amphitheater part of the Journeys Concert Series,KovZpZAEet7A
Rock,34.09850537,-118.32421313,MGMT,45.0,45.0,2018-05-18,Pop,Hollywood Palladium,KovZpZAEAlaA
Rock,42.341089,-83.055434,Daryl Hall & John Oates and Train,129.5,49.5,2018-05-20,Pop,Little Caesars Arena,KovZ917A25V
Rock,34.0544157,-84.3066793,Steely Dan With The Doobie Brothers: The Summer Of Living Dangerously,199.5,35.0,2018-05-19,Pop,Verizon Amphitheatre,KovZpZAFFdlA
Rock,41.99243664,-71.220253,Dead & Company,149.5,49.5,2018-05-30,Pop,Xfinity Center,KovZpZAEAElA
Rock,40.220001,-74.000947,Halestorm,37.5,37.5,2018-05-12,Pop,Stone Pony Summer Stage,KovZpZAatk1A
Rock,39.9602181,-75.1372998,Daryl Hall & John Oates Present HoagieNation,75.0,75.0,2018-05-26,Pop,Festival Pier (at Penn's Landing),KovZpZAdE67A
