Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,Subgenre,Venue,VenueID
Metal,38.99734055,-77.02746183,Parkway Drive - US Spring Tour,23.0,23.0,2018-05-05,Heavy Metal,The Fillmore Silver Spring,KovZpZA6tFlA
Metal,33.751769,-84.389681,Hammerfall,26.5,26.5,2018-05-19,Heavy Metal,The Masquerade,KovZpa2WHe
Metal,40.734917,-73.9884469,Revolver Presents Bloodbath,30.0,30.0,2018-05-27,Heavy Metal,Irving Plaza,KovZpaFPje
Metal,39.99747,-83.0074141,Parkway Drive - US Spring Tour 2018,23.0,23.0,2018-05-01,Heavy Metal,Newport Music Hall,KovZpZAEAt6A
Metal,29.9531499,-90.0661687,CLUTCH plus THE BRONX plus RED FANG plus FIREBALL MINISTRY,55.0,35.0,2018-05-02,Heavy Metal,House of Blues New Orleans,KovZpZAE6vtA
Metal,40.73975368,-73.98501292,Obituary,25.0,25.0,2018-05-05,Heavy Metal,Gramercy Theatre,KovZpZAEAdaA
Metal,33.8095868,-117.9229975,Sons Of Apollo,25.0,25.0,2018-05-04,Heavy Metal,House of Blues Anaheim,KovZpZAEA67A
Metal,42.3528999,-71.1326128,"Bloodbath Feat. Members of Opeth, Katatonia, Paradise Lost!, and more!",26.5,26.5,2018-05-26,Heavy Metal,Brighton Music Hall,KovZpapwne
Metal,34.04024506,-118.2592392,Sons of Apollo,25.0,25.0,2018-05-03,Heavy Metal,The Belasco Theater,KovZpZAJvttA
Metal,42.84356106,-70.81629566,Cinco De Mayo Featuring Entrain,18.0,15.0,2018-05-05,Heavy Metal,Blue Ocean Music Hall,KovZpZA77lkA
Metal,33.758688,-84.391449,BABYMETAL,34.5,34.5,2018-05-15,Heavy Metal,Tabernacle,KovZpaFEZe
Metal,39.0611494,-94.5905256,BABYMETAL,45.0,29.0,2018-05-08,Heavy Metal,Uptown Theater,KovZpa3sre
Metal,33.9818337,-117.3712786,AN EVENING WITH GHOST,38.5,38.5,2018-05-05,Heavy Metal,Riverside Municipal Auditorium,KovZpZAEA6FA
Metal,35.239095,-80.845519,BABYMETAL,28.5,28.5,2018-05-17,Heavy Metal,The Fillmore Charlotte,KovZpaFEre
Metal,38.62807989,-90.20122536,AN EVENING WITH GHOST,55.5,25.5,2018-05-25,Heavy Metal,Peabody Opera House,KovZpa3die
Metal,42.4605914,-83.2129839,An Evening with GHOST presented by WRIF,63.0,38.5,2018-05-12,Heavy Metal,The Fillmore Detroit,KovZpZAEAktA
Metal,35.047861,-85.31119,AN EVENING WITH GHOST,68.5,38.5,2018-05-10,Heavy Metal,Tivoli Theatre,KovZpZA1navA
Metal,35.1517949,-90.0501709,GHOST,57.5,30.5,2018-05-27,Heavy Metal,Cannon Center for the Performing Arts,KovZpa3EHe
Metal,39.941305,-75.148678,Obituary,25.0,25.0,2018-05-04,Heavy Metal,Theatre of Living Arts,KovZpZAEAIaA
Metal,33.751769,-84.389681,Obituary,20.0,20.0,2018-05-02,Heavy Metal,The Masquerade,KovZpa2WHe
Metal,34.414751,-118.558256,Metalachi,28.0,20.0,2018-05-24,Heavy Metal,The Canyon Santa Clarita,KovZ917A8p0
Metal,34.144278,-118.754551,Metalachi,28.0,20.0,2018-05-25,Heavy Metal,The Canyon Agoura Hills,KovZpa3uxe
Metal,34.144558,-118.145052,Metalachi,28.0,20.0,2018-05-26,Heavy Metal,The Rose,KovZpZAEl6JA
Metal,33.8402272,-84.3795437,Stone Sour,45.0,37.5,2018-05-01,Heavy Metal,Buckhead Theatre,KovZpZAJAllA
Metal,36.178258,-86.777691,"Avatar, Hellzapoppin Sideshow Review",0,0,2018-05-01,Heavy Metal,Topgolf Live,KovZpZA6vJeA
