Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,Subgenre,Venue,VenueID
Pop,42.3322231,-83.0413692,MOVED TO SAINT ANDREWS HALL: Madison Beer - As She Pleases Tour,26.0,26.0,2018-05-12,Pop,The Shelter,KovZpZA77JtA
Pop,40.7599136,-73.9803981,Yanni 25 - Acropolis Anniversary Concert Tour,179.5,45.0,2018-05-19,Adult Contemporary,Radio City Music Hall,KovZpZAE7vdA
Pop,34.11948811,-118.29629093,Timbiriche,175.0,34.0,2018-05-25,Pop,Greek Theatre,KovZpa2Hxe
Pop,35.162534,-114.578422,Pitbull,250.0,60.0,2018-05-19,Pop,Laughlin Event Center,KovZpZAEe7nA
Pop,31.765721,-106.442271,Timbiriche,275.0,50.0,2018-05-27,Pop,El Paso County Coliseum,KovZpZAFAtEA
Pop,42.3471841,-71.0957036,AJR: THE CLICK TOUR,45.0,24.5,2018-05-12,Pop,House of Blues Boston,KovZpZAEA7eA
Pop,41.4486599,-72.846188,Yanni 25 - Acropolis Anniversary Concert Tour,575.0,27.5,2018-05-11,Adult Contemporary,Toyota Oakdale Theatre,KovZpZAEkFtA
Pop,35.9933059,-78.902225,Yanni 25 - Acropolis Anniversary Concert Tour,100.0,50.0,2018-05-08,Adult Contemporary,DPAC - Durham Performing Arts Center,KovZpa2X8e
Pop,37.33276191,-121.90122373,Timbiriche - Tour Juntos Usa,150.5,60.5,2018-05-24,Pop,SAP Center at San Jose,KovZpZAJelvA
Pop,33.470823,-112.232875,Timbiriche: Tour Juntos USA,175.0,29.5,2018-05-26,Pop,Ak-Chin Pavilion,KovZpZAE6vJA
Pop,39.981508,-75.224066,Yanni 25 - Acropolis Anniversary Concert Tour,575.0,49.5,2018-05-12,Adult Contemporary,The Mann,KovZpZAEdFJA
Pop,40.73975368,-73.98501292,Madison Beer - As She Pleases Tour,26.0,26.0,2018-05-17,Pop,Gramercy Theatre,KovZpZAEAdaA
Pop,40.86969685,-73.42591099,Madison Beer - As She Pleases Tour,43.5,18.5,2018-05-19,Pop,The Paramount,KovZpZAEAEtA
Pop,40.6422839,-74.077484,Paul Anka - Celebrating 60 Years of Hits - His Way,115.0,65.0,2018-05-06,Adult Contemporary,St. George Theatre,KovZpa4PZe
Pop,34.8573121,-82.3970138,Yanni 25 - Acropolis Anniversary Concert Tour,74.5,54.5,2018-05-05,Adult Contemporary,Bon Secours Wellness Arena ,KovZpZAJEInA
Pop,41.496352,-81.702957,Yanni 25 - Acropolis Anniversary Concert Tour,85.0,32.5,2018-05-18,Adult Contemporary,Jacobs Pavilion at Nautica (formerly Nautica Pavilion),KovZpZAEAtkA
Pop,36.105126,-115.175233,RICKY MARTIN: LAS VEGAS RESIDENCY,321.1,54.59,2018-05-26,Pop,Park Theater,KovZ917A5L7
Pop,36.105126,-115.175233,RICKY MARTIN: LAS VEGAS RESIDENCY,321.1,54.59,2018-05-23,Pop,Park Theater,KovZ917A5L7
Pop,38.65553,-90.297191,Madison Beer - As She Pleases Tour,23.5,23.5,2018-05-07,Pop,Delmar Hall,KovZpZAt6e7A
Pop,33.75721523,-97.13216007,Air Supply,95.0,35.0,2018-05-18,Adult Contemporary,Global Event Center at WinStar World Casino and Resort,KovZpZA6AE6A
Pop,39.3794811,-74.42646885,Paul Anka: Celebrating 60 Years Of Hits - His Way,95.0,75.0,2018-05-05,Adult Contemporary,Golden Nugget,KovZpa9iHe
Pop,36.10961689,-115.17247058,Pitbull,169.0,59.0,2018-05-12,Pop,Zappos Theater at Planet Hollywood,KovZpZAJalEA
Pop,36.105126,-115.175233,RICKY MARTIN: LAS VEGAS RESIDENCY,321.1,54.59,2018-05-27,Pop,Park Theater,KovZ917A5L7
Pop,40.349071,-74.07022,Paul Anka,125.0,35.0,2018-05-07,Adult Contemporary,Count Basie Theatre,KovZ917A8C7
Pop,42.3518332,-71.1195379,Madison Beer - As She Pleases Tour,26.0,26.0,2018-05-15,Pop,Paradise Rock Club,KovZpZA11JtA
