Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,Subgenre,Venue,VenueID
Rock,35.225222,-80.839921,Eagles,399.5,49.5,2018-04-11,Pop,Spectrum Center ,KovZpZA6AEIA
Rock,33.800872,-78.7398774,Breaking Benjamin,35.5,35.5,2018-04-26,Alternative Rock,House of Blues Myrtle Beach,KovZpZAEkeIA
Rock,32.77507215,-96.75646586,Foo Fighters: Concrete And Gold Tour '18,99.0,45.0,2018-04-21,Alternative Rock,Starplex Pavilion,KovZpZAEAFeA
Rock,26.685478,-80.186739,Foo Fighters: Concrete And Gold Tour '18,91.0,37.0,2018-04-26,Alternative Rock,Coral Sky Amphitheatre at the S. Florida Fairgrounds,KovZpZAEkvEA
Rock,33.9583,-118.341868,Justin Timberlake - The Man Of The Woods Tour,280.0,60.0,2018-04-29,Pop,The Forum,KovZpZAEkn6A
Rock,42.6803869,-83.1940588,Nick Jonas,60.0,25.0,2018-04-14,Pop,Meadow Brook Amphitheatre,KovZpZAdJElA
Rock,42.4605914,-83.2129839,Camila Cabello,55.0,30.0,2018-04-25,Pop,The Fillmore Detroit,KovZpZAEAktA
Rock,39.96939661,-83.00636203,Eagles With Special Guests JD & The Straight Shot,399.5,49.5,2018-04-08,Pop,Nationwide Arena,KovZpZA6kelA
Rock,26.051686,-80.212089,Huey Lewis and the News,95.0,40.0,2018-04-20,Pop,Hard Rock Event Center,KovZ917A4Z0
Rock,43.043728,-87.917166,Bon Jovi - This House Is Not For Sale - Tour,549.5,29.5,2018-04-29,Pop,BMO Harris Bradley Center,KovZpZA6kdIA
Rock,21.26584,-157.819741,Jackson Browne,129.5,39.5,2018-04-06,Pop,Waikiki Shell,KovZpZAFAt7A
Rock,35.803242,-78.722936,Eagles,395.5,45.5,2018-04-17,Pop,PNC Arena,KovZpZAdakJA
Rock,40.7497062,-73.9916006,Billy Joel - In Concert,139.5,65.5,2018-04-13,Pop,Madison Square Garden,KovZpZA7AAEA
Rock,41.238819,-96.014593,MercyMe,75.0,20.0,2018-04-05,Pop,Baxter Arena,KovZpZAE7edA
Rock,30.13310378,-97.64039993,Foo Fighters: Concrete And Gold Tour '18,99.0,45.0,2018-04-18,Alternative Rock,Austin360 Amphitheater,KovZpZAJEFJA
Rock,33.5236525,-86.8137679,Eagles,397.5,57.5,2018-04-19,Pop,Legacy Arena at The BJCC ,KovZpZA6t76A
Rock,30.16190839,-95.46435087,Jack Johnson,70.0,35.0,2018-04-26,Pop,The Cynthia Woods Mitchell Pavilion presented by Huntsman,KovZpZAE6k6A
Rock,42.962098,-85.67158,MercyMe,75.0,19.0,2018-04-08,Pop,Van Andel Arena,KovZpZAEAlkA
Rock,38.0458774,-78.5066485,P!NK: Beautiful Trauma World Tour,499.95,45.45,2018-04-19,Alternative Rock,John Paul Jones Arena,KovZpZAF6IAA
Rock,41.4915974,-72.0914563,Daughtry,35.0,35.0,2018-04-06,Pop,Mohegan Sun Arena,KovZpZA6taIA
Rock,37.8077176,-122.2700597,Camila Cabello,49.5,39.5,2018-04-13,Pop,Fox Theater - Oakland,KovZpaKoXe
Rock,42.3566313,-71.0617906,Camila Cabello,53.5,33.5,2018-04-29,Pop,Orpheum Theatre,KovZpZA1J7JA
Rock,32.231489,-110.955434,David Byrne - American Utopia Tour,75.0,45.0,2018-04-15,Alternative Rock,Centennial Hall,KovZpZAaI1eA
Rock,38.0458774,-78.5066485,Styx & Reo Speedwagon With Special Guest Don Felder,77.5,37.5,2018-04-04,Pop,John Paul Jones Arena,KovZpZAF6IAA
Rock,33.9942619,-81.036104,Eagles,399.5,49.5,2018-04-16,Pop,Colonial Life Arena,KovZpZAE7dtA
