Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,Subgenre,Venue,VenueID
Hip-Hop/Rap,40.73975368,-73.98501292,"Thicker Than Water Tour ft Richie Wess, Yung Dred & Friends.",20.0,20.0,2018-04-14,Urban,Gramercy Theatre,KovZpZAEAdaA
Hip-Hop/Rap,33.806533,-117.912474,Moneybagg Yo,18.0,18.0,2018-04-17,Urban,The Parish at House of Blues Anaheim,KovZ917AGEf
Hip-Hop/Rap,33.751769,-84.389681,Smooky MarGielaa,17.0,17.0,2018-04-19,Urban,The Masquerade,KovZpa2WHe
Hip-Hop/Rap,39.96477,-75.134457,SABA: CARE FOR ME TOUR,15.0,15.0,2018-04-11,Urban,The Foundry,KovZpZAEktdA
Hip-Hop/Rap,40.478657,-79.956565,Maxo Kream,50.0,15.0,2018-04-17,Urban,Spirit Hall,KovZ917A_J7
Hip-Hop/Rap,39.061132,-94.590737,Injury Reserve,13.0,13.0,2018-04-25,Urban,Encore at The Uptown Theater,KovZpZAt7E1A
Hip-Hop/Rap,38.91543378,-77.02113555,Smooky MarGielaa with Jelly Gang,18.0,18.0,2018-04-25,Urban,Howard Theatre,KovZpZAFavlA
Hip-Hop/Rap,29.9531499,-90.0661687,The Throwback - In The Parish At Hob,12.0,12.0,2018-03-31,Urban,House of Blues New Orleans,KovZpZAE6vtA
Hip-Hop/Rap,61.2175806,-149.8925421,DMX & Zed's Dead Two Show Combo,75.0,75.0,2017-03-31,Urban,William a Egan Civic and Convention Center,KovZpZAdE17A
Hip-Hop/Rap,45.513901,-122.642799,SoMo,0,0,2018-03-31,Hip-Hop/Rap,Hawthorne Theatre,ZFr9jZkddd
Hip-Hop/Rap,37.64316,-118.966555,"The Grouch, Pure Powers",0,0,2018-03-31,Urban,Rafters Bar & Grill,KovZpaCDxe
Hip-Hop/Rap,34.0397,-118.266403,J Boog,0,0,2018-03-31,Hip-Hop/Rap,The Novo by Microsoft,ZFr9jZ6dAF
Hip-Hop/Rap,41.91026,-87.677973,"The Bus Crates, Philmore Greene & Rashid Hadee, Tony Baines, DJ Uncle",0,0,2018-03-31,Urban,Downstairs (at Subterranean),KovZpZA6vJlA
Hip-Hop/Rap,41.132989,-85.100226,Montana of 300,0,0,2018-03-31,Urban,Piere's,KovZpZAF77lA
Hip-Hop/Rap,32.748176,-117.131383,Roy Wood$,0,0,2018-03-31,Urban,Observatory North Park,KovZpaFxHe
Hip-Hop/Rap,33.7719,-116.279404,Nelly,0,0,2018-03-31,Hip-Hop/Rap,Fantasy Springs Resort Casino,ZFr9jZ7Fak
Hip-Hop/Rap,37.869701,-122.2584,Riff Raff,0,0,2018-03-31,Hip-Hop/Rap,Cornerstone - CA,Z7r9jZad19
Hip-Hop/Rap,37.769732,-122.420284,"Ces Cru, G-Mo Skee",0,0,2018-04-01,Urban,Brick & Mortar Music Hall,KovZpZAd6n6A
Hip-Hop/Rap,42.3609933,-71.0962768,"Ceschi, Onry Ozzborn, Moodie Black, Esh, Sole",0,0,2018-04-01,Urban,Middle East,KovZpaoV7e
Hip-Hop/Rap,39.949718,-75.169853,Mickey Avalon & Dirt Nasty,0,0,2018-04-01,Urban,Coda,KovZpZAJIaEA
Hip-Hop/Rap,41.608299,-93.773201,A$AP Ferg,0,0,2018-04-01,Hip-Hop/Rap,7 Flags Event Center,ZFr9jZ7d1a
Hip-Hop/Rap,33.6997648,-117.9175717,Roy Wood$,0,0,2018-04-01,Urban,The Observatory,KovZpZAF6JkA
Hip-Hop/Rap,40.7610063,-73.9887757,Hot97 Easter Weekend Takeover,0,0,2018-04-01,Urban,The Attic Rooftop & Lounge,KovZpZA6eIaA
Hip-Hop/Rap,42.4605914,-83.2129839,Insane Clown Posse x Attila,50.0,25.0,2018-04-01,Urban,The Fillmore Detroit,KovZpZAEAktA
Hip-Hop/Rap,32.753815,-117.209272,Dumbfoundead,0,0,2018-04-02,Urban,Soma,KovZpZA1teEA
