Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,Subgenre,Venue,VenueID
Rock,32.872469,-96.942954,Queens of the Stone Age,59.5,35.0,2018-04-25,Alternative Rock,The Pavilion at Toyota Music Factory,KovZ917A2Q7
Rock,41.4915974,-72.0914563,Frankie Valli,35.0,35.0,2018-04-14,Oldies & Classics,Mohegan Sun Arena,KovZpZA6taIA
Rock,41.88811537,-87.62931962,5 Seconds of Summer - 5SOS3 Tour,29.5,29.5,2018-04-16,Pop,House of Blues Chicago,KovZpZAEAIlA
Rock,34.04024506,-118.2592392,5 Seconds of Summer - 5SOS3 Tour,29.5,29.5,2018-04-25,Pop,The Belasco Theater,KovZpZAJvttA
Rock,44.9768315,-93.2766876,Camila Cabello,250.0,39.0,2018-04-20,Pop,State Theatre,KovZpZAF76tA
Rock,42.963401,-85.672069,Lord Huron,53.0,33.5,2018-04-20,Alternative Rock,20 Monroe Live,KovZ917AGpf
Rock,34.09850537,-118.32421313,Dashboard Confessional,38.6,38.6,2018-04-21,Alternative Rock,Hollywood Palladium,KovZpZAEAlaA
Rock,37.8740742,-122.2555418,LCD Soundsystem,59.5,59.5,2018-04-29,Pop,Greek Theatre-U.C. Berkeley,KovZpZAFadlA
Rock,41.88537,-87.627457,John Prine,109.5,69.5,2018-04-27,Pop,The Chicago Theatre,KovZpZA6AJ6A
Rock,33.800872,-78.7398774,Papa Roach - Crooked Teeth World Tour,28.5,28.5,2018-04-07,Alternative Rock,House of Blues Myrtle Beach,KovZpZAEkeIA
Rock,29.4264514,-98.4903863,The Doobie Brothers,115.0,59.5,2018-04-18,Pop,Majestic Theatre San Antonio,KovZpZA77alA
Rock,37.8740742,-122.2555418,LCD Soundsystem,59.5,59.5,2018-04-27,Pop,Greek Theatre-U.C. Berkeley,KovZpZAFadlA
Rock,42.3518332,-71.1195379,5 Seconds of Summer - 5SOS3 Tour,29.5,29.5,2018-04-08,Pop,Paradise Rock Club,KovZpZA11JtA
Rock,28.473773,-81.468224,CECF Wish Foundation Presents REO Speedwagon,199.5,59.5,2018-04-13,Pop,Hard Rock Live Orlando,KovZpZAEkJeA
Rock,30.393029,-88.892298,Billy Idol at the Beau Rivage Theatre,74.95,59.95,2018-04-28,Pop,Beau Rivage Theatre,KovZpZAdI16A
Rock,42.4605914,-83.2129839,Papa Roach - Crooked Teeth World Tour,60.5,36.0,2018-04-19,Alternative Rock,The Fillmore Detroit,KovZpZAEAktA
Rock,29.9531499,-90.0661687,DAVID SHAW (of The Revivalists),57.5,35.0,2018-04-27,Pop,House of Blues New Orleans,KovZpZAE6vtA
Rock,32.78521325,-96.80851279,5 Seconds of Summer - 5SOS3 Tour,49.5,29.5,2018-04-19,Pop,House of Blues Dallas,KovZpZAEAF7A
Rock,37.8740742,-122.2555418,LCD Soundsystem,59.5,59.5,2018-04-28,Pop,Greek Theatre-U.C. Berkeley,KovZpZAFadlA
Rock,44.5744084,-92.7182728,Foreigner,321.0,59.0,2018-04-08,Pop,Treasure Island Resort & Casino,KovZpZAEktnA
Rock,40.739502,-74.16809,Frankie Valli & the Four Seasons,175.0,49.0,2018-04-05,Oldies & Classics,New Jersey Performing Arts Center,KovZpa6Vxe
Rock,37.7842392,-122.4332936,5 Seconds of Summer - 5SOS3 Tour,29.5,29.5,2018-04-27,Pop,The Fillmore,KovZpZAE6eeA
Rock,42.3471841,-71.0957036,92.5 The River presents George Ezra,49.5,29.5,2018-04-22,Pop,House of Blues Boston,KovZpZAEA7eA
Rock,41.88537,-87.627457,Trey Anastasio Band,59.5,39.5,2018-04-20,Alternative Rock,The Chicago Theatre,KovZpZA6AJ6A
Rock,41.88537,-87.627457,Trey Anastasio Band,59.5,39.5,2018-04-21,Alternative Rock,The Chicago Theatre,KovZpZA6AJ6A
