Genre	Latitude	Longitude	Name	Price_Maximum	Price_Minimum	Start_Date	Subgenre	Venue	VenueID
Pop	44.7296288	-93.4749922	Yanni 25 - Acropolis Anniversary Concert Tour	3200	40.5	7/1/2018	Adult Contemporary	Mystic Lake Casino Hotel	KovZpaoTHe
Metal	43.60358	-116.199107	Metallica - WorldWired Tour	2499	63	11/28/2018	Heavy Metal	Taco Bell Arena	KovZpZAEetIA
Hip-Hop/Rap	44.973208	-93.255966	JAY-Z and BEYONCÉ - OTR II	1993	20	8/8/2018	Urban	U.S. Bank Stadium	KovZpZAF6ttA
Rock	44.94489438	-93.10121819	Bon Jovi - This House Is Not For Sale - Tour	1666.5	26.5	4/28/2018	Pop	Xcel Energy Center	KovZpZA6AJdA
Country	38.3552473	-81.6415273	Tim McGraw & Faith Hill Soul2Soul The World Tour 2018	1299	67.5	6/1/2018	Country	Charleston Civic Center	KovZpZA6tavA
Dance/Electronic	39.743694	-105.017315	Global Dance Festival - Two Day Pass	500	24.75	7/20/2018	Club Dance	Sports Authority Field At Mile High	KovZpa3Wne
