Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,Subgenre,Venue,VenueID
Metal,40.73975368,-73.98501292,Angra,27.5,27.5,2018-09-12,Heavy Metal,Gramercy Theatre,KovZpZAEAdaA
Metal,42.40385055,-82.96627808,"Dark Tranquillity/Amorphis, Moonspell, Omnium Gatherum",0,0,2018-09-12,Heavy Metal,Harpo's,KovZpZAdElEA
Metal,39.96477,-75.134457,Angra,25.0,25.0,2018-09-14,Heavy Metal,The Foundry,KovZpZAEktdA
Metal,40.734917,-73.9884469,Helloween: Pumpkins United,62.5,60.0,2018-09-16,Heavy Metal,Irving Plaza,KovZpaFPje
Metal,41.52768,-88.08213,"Angra, Scarlet Aura, Professor Emeritus, Legacy Black, Guardsman",0,0,2018-09-20,Heavy Metal,The Forge,KovZpaCRXe
Metal,41.132989,-85.100226,Hed Pe,0,0,2018-09-24,Heavy Metal,Piere's,KovZpZAF77lA
Metal,33.43699137,-111.94398356,Dark Tranquillity / Amorphis,0,0,2018-09-26,Heavy Metal,Marquee Theatre,KovZpZAJk7eA
Metal,36.087535,-115.174742,Dark Tranquillity,55.0,27.5,2018-09-27,Heavy Metal,House of Blues Las Vegas,KovZpZA7klAA
Metal,34.144278,-118.754551,Accept,58.0,28.0,2018-09-28,Heavy Metal,The Canyon Agoura Hills,KovZpa3uxe
Metal,34.144558,-118.145052,Accept,4.0,1.0,2018-09-29,Heavy Metal,The Rose,KovZpZAEl6JA
