Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,Subgenre,Venue,VenueID
Hip-Hop/Rap,38.839787,-77.061339,Ana Tijoux presents Roja y Negro: Canciones de Amor y Desamor,25.0,25.0,2018-07-11,Urban,Birchmere,KovZpa3rme
Hip-Hop/Rap,41.50603554,-81.69956958,JAY-Z and BEYONCÉ - OTR II,320.0,20.0,2018-07-25,Urban,"FirstEnergy Stadium, Home of the Cleveland Browns",KovZpZAFdEJA
Hip-Hop/Rap,38.907729,-76.864433,JAY-Z and BEYONCÉ - OTR II,350.0,20.0,2018-07-28,Urban,FedExField,KovZpZAJ6kEA
Hip-Hop/Rap,39.969743,-75.164767,JAY-Z and BEYONCÉ - OTR II,320.0,20.0,2018-07-30,Urban,Lincoln Financial Field,KovZpa2yme
Hip-Hop/Rap,61.2175806,-149.8925421,DMX & Zed's Dead Two Show Combo,75.0,75.0,2017-03-31,Urban,William a Egan Civic and Convention Center,KovZpZAdE17A
Hip-Hop/Rap,40.00373203,-85.93427182,Logic Presents: Bobby Tarantino vs. Everybody Tour with NF and Kyle,88.5,24.0,2018-07-01,Urban,Ruoff Home Mortgage Music Center,KovZpvEk7A
Hip-Hop/Rap,43.027552,-87.897661,J. Cole,109.4,65.23,2018-07-03,Urban,American Family Insurance Amphitheater-Summerfest,KovZpZAJeenA
Hip-Hop/Rap,42.91319987,-78.38933898,Logic Presents: Bobby Tarantino vs. Everybody Tour with NF and Kyle,89.5,25.0,2018-07-03,Urban,Darien Lake Amphitheater,KovZpaF0ne
Hip-Hop/Rap,41.1913469,-81.5607834,Logic Presents: Bobby Tarantino vs. Everybody Tour with NF and Kyle,89.5,35.0,2018-07-06,Urban,Blossom Music Center,KovZpZAEAtAA
Hip-Hop/Rap,43.611401,-116.533302,Logic w/ NF,0,0,2018-07-11,Hip-Hop/Rap,Ford Idaho Center Amphitheater,ZFr9jZaevd
Hip-Hop/Rap,43.606732,-116.512342,Logic Presents: Bobby Tarantino vs. Everybody Tour with NF and Kyle,0,0,2018-07-11,Urban,Idaho Center Amphitheater,KovZpZAIJ6lA
Hip-Hop/Rap,34.0907726,-118.3857334,The Luniz,0,0,2018-07-12,Urban,Whisky A Go Go,KovZpZAJAAIA
Hip-Hop/Rap,47.2368945,-122.107994,Logic Presents: Bobby Tarantino vs. Everybody Tour with NF,79.5,25.0,2018-07-13,Urban,White River Amphitheatre,KovZpZAEkd1A
Hip-Hop/Rap,37.778048,-122.405681,The Diplomats: Dipset Forever Reunion Tour,0,0,2018-07-13,Urban,1015 Folsom,KovZpZAFJJaA
Hip-Hop/Rap,45.53118896,-122.66645813,Logic Presents: Bobby Tarantino vs. Everybody Tour with NF and Kyle,79.5,57.5,2018-07-14,Urban,Moda Center,KovZpa6MXe
Hip-Hop/Rap,25.978677,-80.365213,Splashdown,20.0,20.0,2018-07-14,Urban,Miramar Regional Park Amphitheater,KovZ917A2E0
Hip-Hop/Rap,34.04698181,-118.24780273,The Diplomats: Dipset Forever Reunion Tour,0,0,2018-07-15,Urban,The Regent Theater,KovZpZAJ6daA
Hip-Hop/Rap,40.6511,-112.018204,Logic Presents: Bobby Tarantino vs. Everybody Tour with NF and Kyle,0,0,2018-07-17,Hip-Hop/Rap,Usana Amphitheatre,ZFr9jZdavd
Hip-Hop/Rap,40.65743789,-112.04072602,Logic Presents: Bobby Tarantino vs. Everybody Tour with NF and Kyle,0,0,2018-07-17,Urban,USANA Amphitheatre,KovZpZA1lleA
Hip-Hop/Rap,47.60849511,-122.33940147,The Diplomats: Dipset Forever Reunion Tour,0,0,2018-07-18,Urban,The Showbox,KovZpZAJAFJA
Hip-Hop/Rap,37.426718,-122.080722,Logic Presents: Bobby Tarantino vs. Everybody Tour with NF and Kyle,95.0,25.0,2018-07-19,Urban,Shoreline Amphitheatre,KovZpZA6ta1A
Hip-Hop/Rap,33.9583,-118.341868,Logic Presents: Bobby Tarantino vs. Everybody Tour with NF,99.5,39.5,2018-07-20,Urban,The Forum,KovZpZAEkn6A
Hip-Hop/Rap,38.9062,-77.294899,Queen Latifah,0,0,2018-07-20,Hip-Hop/Rap,Filene Center,Z7r9jZad_t
Hip-Hop/Rap,39.760502,-104.965698,Dipset,0,0,2018-07-20,Hip-Hop/Rap,Cervantes,ZFr9jZkk1d
Hip-Hop/Rap,40.2177741,-80.2037571,Tone Loc and Color Me Badd,39.95,19.95,2018-07-20,Urban,The Meadows Casino,KovZpa4W7e
