Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,Subgenre,Venue,VenueID
Pop,36.10961689,-115.17247058,Pitbull,159.0,59.0,2018-05-05,Pop,Zappos Theater at Planet Hollywood,KovZpZAJalEA
Pop,36.105126,-115.175233,RICKY MARTIN: LAS VEGAS RESIDENCY,321.1,54.59,2018-05-27,Pop,Park Theater,KovZ917A5L7
Pop,39.96477,-75.134457,Madison Beer - As She Pleases Tour,26.0,26.0,2018-05-16,Pop,The Foundry,KovZpZAEktdA
Pop,40.6422839,-74.077484,Paul Anka - Celebrating 60 Years of Hits - His Way,115.0,65.0,2018-05-06,Adult Contemporary,St. George Theatre,KovZpa4PZe
Pop,36.10961689,-115.17247058,Pitbull,149.0,39.0,2018-05-02,Pop,Zappos Theater at Planet Hollywood,KovZpZAJalEA
Pop,43.16090189,-77.58866326,Yanni 25 - Acropolis Anniversary Concert Tour,153.0,48.0,2018-05-15,Adult Contemporary,Rochester Auditorium Theatre,KovZpaowGe
Pop,36.105126,-115.175233,RICKY MARTIN: LAS VEGAS RESIDENCY,321.1,54.59,2018-05-30,Pop,Park Theater,KovZ917A5L7
Pop,42.3323449,-83.041464,Madison Beer - As She Pleases Tour,26.0,26.0,2018-05-12,Pop,Saint Andrews Hall,KovZpZAEAkEA
Pop,40.337856,-75.926357,Paul Anka - Celebrating 60 Years of Hits - His Way,110.0,39.0,2018-05-09,Adult Contemporary,The Santander Performing Arts Center ,KovZpZAJdEvA
Pop,43.111606,-75.592926,Christopher Cross,79.0,45.0,2018-05-11,Adult Contemporary,Turning Stone Resort Casino Showroom,KovZpaowne
Pop,36.10961689,-115.17247058,Pitbull,149.0,49.0,2018-05-11,Pop,Zappos Theater at Planet Hollywood,KovZpZAJalEA
Pop,36.10961689,-115.17247058,Pitbull,149.0,39.0,2018-05-09,Pop,Zappos Theater at Planet Hollywood,KovZpZAJalEA
Pop,36.10961689,-115.17247058,Pitbull,149.0,49.0,2018-05-04,Pop,Zappos Theater at Planet Hollywood,KovZpZAJalEA
Pop,42.3504843,-71.065086,Mandy Harvey,26.0,26.0,2018-05-20,Pop,The Wilbur,KovZpZAEAIvA
Pop,36.102247,-115.20109,Air Supply,59.95,39.95,2018-05-25,Adult Contemporary,Orleans Showroom,KovZ917AABV
Pop,40.0858038,-83.0182524,Illuminati Columbus Gay Mens Chorus,10.0,10.0,2018-05-06,Adult Contemporary,Worthington United Methodist Church,KovZpapzFe
Pop,42.3322231,-83.0413692,Amy Shark,15.0,15.0,2018-05-14,Pop,The Shelter,KovZpZA77JtA
Pop,36.102247,-115.20109,Air Supply,59.95,39.95,2018-05-27,Adult Contemporary,Orleans Showroom,KovZ917AABV
Pop,32.785033,-96.80825,"Paul Cannon ""love & Heartbreaks""",15.0,15.0,2018-05-17,Pop,The Cambridge Room at House Of Blues,KovZpZAIvlIA
Pop,36.102247,-115.20109,Air Supply,59.95,39.95,2018-05-26,Adult Contemporary,Orleans Showroom,KovZ917AABV
Pop,32.785033,-96.80825,FRENSHIP,15.0,15.0,2018-05-20,Pop,The Cambridge Room at House Of Blues,KovZpZAIvlIA
Pop,39.061132,-94.590737,Gus Dapperton - You Think You're A Comic Tour,13.0,13.0,2018-05-03,Pop,Encore at The Uptown Theater,KovZpZAt7E1A
Pop,38.6559391,-90.3049733,Lincoln Durham,13.0,13.0,2018-05-05,Adult Contemporary,Duck Room at Blueberry Hill,KovZpZAaatIA
Pop,38.838536,-97.608739,Alan Cumming,327.0,39.0,2018-05-11,Adult Contemporary,Stiefel Theatre,KovZpZAF7nIA
Pop,29.753929,-95.364056,"FRENSHIP - Good Morning, Goodbye Tour",15.0,15.0,2018-05-18,Pop,The Bronze Peacock at House of Blues Houston,KovZ917A58V
