Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,State Code,State Name,Subgenre,Venue,VenueID
Alternative,40.425598,-79.976196,Khruangbin,0,0,4/6/2018,PA,Pennsylvania,Alternative Rock,Rex Theatre,ZFr9jZAAF7
Alternative,42.324699,-85.094902,Pat Benatar & Neil Giraldo: A Very Intimate Acoustic Evening,0,0,4/6/2018,MI,Michigan,Alternative Rock,FireKeepers Casino,ZFr9jZ1dFF
Alternative,34.0397,-118.266403,The Breeders,0,0,4/6/2018,CA,California,Alternative Rock,Ace Hotel Los Angeles,ZFr9jZ1a16
Alternative,40.002102,-75.299202,The Clarks,0,0,4/6/2018,PA,Pennsylvania,Alternative Rock,Ardmore Music Hall,Z7r9jZaenq
Alternative,38.3424,-120.751602,Aaron Lewis,0,0,4/6/2018,CA,California,Alternative Rock,Jackson Rancheria Hotel and Casino,ZFr9jZdead
Alternative,41.1138,-96.041298,Built To Spill,0,0,4/6/2018,NE,Nebraska,Alternative Rock,The Waiting Room - NE,ZFr9jZkAF1
Alternative,38.3424,-120.751602,Aaron Lewis,0,0,4/6/2018,CA,California,Alternative Rock,Jackson Rancheria Hotel and Casino,ZFr9jZdead
Alternative,29.745001,-95.489304,Roger Clyne,0,0,4/6/2018,TX,Texas,Alternative Rock,Firehouse Saloon,ZFr9jZ7ad6
Alternative,42.324699,-85.094902,Pat Benatar & Neil Giraldo: A Very Intimate Acoustic Evening,0,0,4/6/2018,MI,Michigan,Alternative Rock,FireKeepers Casino,ZFr9jZ1dFF
Alternative,34.0397,-118.266403,The Breeders,0,0,4/6/2018,CA,California,Alternative Rock,Ace Hotel Los Angeles,ZFr9jZ1a16
Alternative,40.425598,-79.976196,Khruangbin,0,0,4/6/2018,PA,Pennsylvania,Alternative Rock,Rex Theatre,ZFr9jZAAF7
Alternative,27.798,-97.4011,Spazmatics,0,0,4/6/2018,TX,Texas,Alternative Rock,Brewster Street Ice House,Z7r9jZaegU
Alternative,29.798201,-95.418297,Jake Bugg w/ Nina Nesbitt,0,0,4/6/2018,TX,Texas,Alternative Rock,Heights Theater,Z7r9jZad5d
Alternative,41.939602,-87.656799,Weird Al Yankovic,0,0,4/6/2018,IL,Illinois,Alternative Rock,Vic Theater,ZFr9jZeadv
Alternative,34.435902,-119.681602,Haim,0,0,4/7/2018,CA,California,Alternative Rock,Santa Barbara Bowl,ZFr9jZekv1
Alternative,39.951099,-75.150398,Khruangbin,0,0,4/7/2018,PA,Pennsylvania,Alternative Rock,Underground Arts,ZFr9jZ1v76
Alternative,46.626701,-120.424797,Shinedown w/ In This Moment,0,0,4/7/2018,WA,Washington,Alternative Rock,Yakima Valley Sundome,ZFr9jZe1vF
Alternative,38.991501,-76.532501,Subdudes,0,0,4/7/2018,MD,Maryland,Alternative Rock,Rams Head On Stage,ZFr9jZd67A
Alternative,30.2721,-97.742401,Jake Bugg,0,0,4/7/2018,TX,Texas,Alternative Rock,The Parish Room - TX,ZFr9jZk7va
Alternative,38.3424,-120.751602,Aaron Lewis,0,0,4/7/2018,CA,California,Alternative Rock,Jackson Rancheria Hotel and Casino,ZFr9jZdead
Alternative,42.362099,-71.068001,Candlebox,0,0,4/7/2018,MA,Massachusetts,Alternative Rock,City Winery - Boston,Z7r9jZadfX
Alternative,39.964001,-75.147697,Yo La Tengo,0,0,4/7/2018,PA,Pennsylvania,Alternative Rock,Union Transfer,ZFr9jZaAeA
Alternative,33.716,-117.902901,The Breeders,0,0,4/7/2018,CA,California,Alternative Rock,The Observatory - Santa Ana,Z6r9jZ6eAe
Alternative,38.2388,-85.7229,Rogue Wave,0,0,4/7/2018,KY,Kentucky,Alternative Rock,Headliners Music Hall,ZFr9jZA6A7
Alternative,40.720798,-74.045898,Black Angels,0,0,4/7/2018,NJ,New Jersey,Alternative Rock,White Eagle Hall,Z7r9jZaduQ
Alternative,40.782001,-111.7519,The Neighbourhood,0,0,4/7/2018,UT,Utah,Alternative Rock,The Complex - UT,ZFr9jZaedv
Alternative,41.939602,-87.656799,Weird Al Yankovic,0,0,4/7/2018,IL,Illinois,Alternative Rock,Vic Theater,ZFr9jZeadv
Alternative,38.899399,-92.239098,Dr. Dog,0,0,4/8/2018,MO,Missouri,Alternative Rock,Blue Note - MO,ZFr9jZd7a6
Alternative,38.025002,-78.476097,Yo La Tengo,0,0,4/8/2018,VA,Virginia,Alternative Rock,Jefferson Theater-VA,ZFr9jZFk1a
Alternative,43.036999,-87.916901,The Decemberists,0,0,4/8/2018,WI,Wisconsin,Alternative Rock,Riverside Theatre - WI,ZFr9jZeA7F
Alternative,44.970299,-93.286102,Built To Spill,0,0,4/8/2018,MN,Minnesota,Alternative Rock,First Avenue,Z6r9jZk6ee
Alternative,44.970299,-93.286102,Built To Spill,0,0,4/8/2018,MN,Minnesota,Alternative Rock,First Avenue,Z6r9jZk6ee
Alternative,38.025002,-78.476097,Yo La Tengo,0,0,4/8/2018,VA,Virginia,Alternative Rock,Jefferson Theater-VA,ZFr9jZFk1a
Alternative,38.877998,-77.019798,Lorde,0,0,4/8/2018,DC,District of Columbia,Alternative Rock,The Anthem - DC,Z7r9jZadGS
Alternative,42.380199,-71.134697,The Go! Team,0,0,4/8/2018,MA,Massachusetts,Alternative Rock,The Sinclair Music Hall,ZFr9jZ1eka
Alternative,32.753201,-96.839897,Jake Bugg,0,0,4/8/2018,TX,Texas,Alternative Rock,The Kessler,Z7r9jZaejx
Alternative,40.7201,-74.0047,Candlebox,0,0,4/8/2018,NY,New York,Alternative Rock,City Winery - New York,ZFr9jZFvve
Alternative,43.248001,-71.5112,Daughtry,0,0,4/8/2018,NH,New Hampshire,Alternative Rock,Capitol Center for the Arts - NH,ZFr9jZ7v1a
Alternative,38.899399,-92.239098,Dr. Dog,0,0,4/8/2018,MO,Missouri,Alternative Rock,Blue Note - MO,ZFr9jZd7a6
Alternative,33.5597,-112.094902,Frankie Cosmos,0,0,4/9/2018,AZ,Arizona,Alternative Rock,The Crescent Ballroom,ZFr9jZaAva
