Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,Subgenre,Venue,VenueID
Rock,40.68350417,-73.97661659,Elton John: Farewell Yellow Brick Road,249.5,59.5,2019-03-09,Pop,Barclays Center,KovZpakSbe
Rock,40.73340555,-74.17121214,Elton John: Farewell Yellow Brick Road,249.5,59.5,2019-03-02,Pop,Prudential Center,KovZpZAE7vaA
Rock,35.803242,-78.722936,Elton John: Farewell Yellow Brick Road,220.5,55.5,2019-03-12,Pop,PNC Arena,KovZpZAdakJA
Rock,30.325811,-81.645058,Elton John: Farewell Yellow Brick Road,221.84,56.84,2019-03-15,Pop,Jacksonville Veterans Memorial Arena,KovZpZAE67AA
Rock,33.9942619,-81.036104,Elton John: Farewell Yellow Brick Road,224.5,59.5,2019-03-13,Pop,Colonial Life Arena,KovZpZAE7dtA
Rock,40.68350417,-73.97661659,Elton John: Farewell Yellow Brick Road,249.5,59.5,2019-03-08,Pop,Barclays Center,KovZpakSbe
Rock,26.155362,-80.33023,Elton John: Farewell Yellow Brick Road,245.25,55.25,2019-03-16,Pop,BB&T Center,KovZpZAEeavA
Rock,42.64834,-73.753957,Elton John: Farewell Yellow Brick Road,220.5,45.5,2019-03-01,Pop,Times Union Center,KovZpZAF6knA
Rock,33.580601,-101.8657,Metallica - WorldWired Tour,0,0,2019-03-02,Hard Rock,United Supermarkets Arena,ZFr9jZeFFd
Rock,37.686501,-97.334297,Metallica - WorldWired Tour,0,0,2019-03-04,Hard Rock,INTRUST Bank Arena,ZFr9jZFk7v
Rock,39.106701,-94.571297,Metallica,0,0,2019-03-06,Hard Rock,Sprint Center,ZFr9jZA1a1
Rock,33.4170454,-111.9399956,Quetzal,20.0,20.0,2019-03-30,Pop,ASU Gammage,KovZpZAE6v1A
